Kommunenummer,Kommune,MeteringPointTypeCode,Kilde,InstallertKapasitet,Dato,SistOppdatert
4001,Porsgrunn,E19,other,13.0,2024-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,70.0,2024-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2024-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,7130.0,2024-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2024-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2024-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2024-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,5368.0,2024-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,70.0,2024-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2024-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2024-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2024-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2024-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,5368.0,2024-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,7130.0,2024-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2024-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2024-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,5368.0,2024-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,7130.0,2024-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2024-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2024-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2024-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2024-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,70.0,2024-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2024-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2024-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,7130.0,2024-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,5368.0,2024-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2024-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2024-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,70.0,2024-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2024-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,5368.0,2024-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,70.0,2024-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2024-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,7140.0,2024-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2024-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2024-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2024-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2024-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,5368.0,2024-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2024-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2024-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2024-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2024-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,70.0,2024-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,7140.0,2024-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2024-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2024-01-07,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2024-01-07,2025-06-25T08:29:56+02:00
