Geografi,År,Kjønn,Alder,Utdanningsnivå,Måltall,value
Hele landet,2013-2019,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.434006
Hele landet,2013-2019,kjønn samlet,ved fødsel,grunnskole,leveår,-
Hele landet,2013-2019,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2013-2019,kjønn samlet,ved fødsel,videregående,leveår,-
Hele landet,2013-2019,kjønn samlet,ved fødsel,universitet eller høgskole,leveår,-
Hele landet,2013-2019,kjønn samlet,30 år,alle utdanningsnivåer,leveår,83.018646
Hele landet,2013-2019,kjønn samlet,30 år,grunnskole,leveår,79.940323
Hele landet,2013-2019,kjønn samlet,30 år,videregående eller høyere,leveår,84.930756
Hele landet,2013-2019,kjønn samlet,30 år,videregående,leveår,83.556862
Hele landet,2013-2019,kjønn samlet,30 år,universitet eller høgskole,leveår,86.304657
Hele landet,2013-2019,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.365723
Hele landet,2013-2019,kjønn samlet,65 år,grunnskole,leveår,83.668243
Hele landet,2013-2019,kjønn samlet,65 år,videregående eller høyere,leveår,86.828888
Hele landet,2013-2019,kjønn samlet,65 år,videregående,leveår,85.785568
Hele landet,2013-2019,kjønn samlet,65 år,universitet eller høgskole,leveår,87.872208
Hele landet,2013-2019,menn,ved fødsel,alle utdanningsnivåer,leveår,80.642761
Hele landet,2013-2019,menn,ved fødsel,grunnskole,leveår,-
Hele landet,2013-2019,menn,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2013-2019,menn,ved fødsel,videregående,leveår,-
Hele landet,2013-2019,menn,ved fødsel,universitet eller høgskole,leveår,-
Hele landet,2013-2019,menn,30 år,alle utdanningsnivåer,leveår,81.366333
Hele landet,2013-2019,menn,30 år,grunnskole,leveår,77.925346
Hele landet,2013-2019,menn,30 år,videregående eller høyere,leveår,83.211266
Hele landet,2013-2019,menn,30 år,videregående,leveår,81.712921
Hele landet,2013-2019,menn,30 år,universitet eller høgskole,leveår,84.70961
Hele landet,2013-2019,menn,65 år,alle utdanningsnivåer,leveår,84.122009
Hele landet,2013-2019,menn,65 år,grunnskole,leveår,82.354416
Hele landet,2013-2019,menn,65 år,videregående eller høyere,leveår,85.371124
Hele landet,2013-2019,menn,65 år,videregående,leveår,84.264229
Hele landet,2013-2019,menn,65 år,universitet eller høgskole,leveår,86.478027
Hele landet,2013-2019,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.22525
Hele landet,2013-2019,kvinner,ved fødsel,grunnskole,leveår,-
Hele landet,2013-2019,kvinner,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2013-2019,kvinner,ved fødsel,videregående,leveår,-
Hele landet,2013-2019,kvinner,ved fødsel,universitet eller høgskole,leveår,-
Hele landet,2013-2019,kvinner,30 år,alle utdanningsnivåer,leveår,84.670959
Hele landet,2013-2019,kvinner,30 år,grunnskole,leveår,81.955292
Hele landet,2013-2019,kvinner,30 år,videregående eller høyere,leveår,86.650253
Hele landet,2013-2019,kvinner,30 år,videregående,leveår,85.400803
Hele landet,2013-2019,kvinner,30 år,universitet eller høgskole,leveår,87.899696
Hele landet,2013-2019,kvinner,65 år,alle utdanningsnivåer,leveår,86.609436
Hele landet,2013-2019,kvinner,65 år,grunnskole,leveår,84.982071
Hele landet,2013-2019,kvinner,65 år,videregående eller høyere,leveår,88.286652
Hele landet,2013-2019,kvinner,65 år,videregående,leveår,87.306915
Hele landet,2013-2019,kvinner,65 år,universitet eller høgskole,leveår,89.266388
Hele landet,2014-2020,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.652718
Hele landet,2014-2020,kjønn samlet,ved fødsel,grunnskole,leveår,-
Hele landet,2014-2020,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2014-2020,kjønn samlet,ved fødsel,videregående,leveår,-
Hele landet,2014-2020,kjønn samlet,ved fødsel,universitet eller høgskole,leveår,-
Hele landet,2014-2020,kjønn samlet,30 år,alle utdanningsnivåer,leveår,83.227768
Hele landet,2014-2020,kjønn samlet,30 år,grunnskole,leveår,80.115639
Hele landet,2014-2020,kjønn samlet,30 år,videregående eller høyere,leveår,85.123352
Hele landet,2014-2020,kjønn samlet,30 år,videregående,leveår,83.727478
Hele landet,2014-2020,kjønn samlet,30 år,universitet eller høgskole,leveår,86.519226
Hele landet,2014-2020,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.511368
Hele landet,2014-2020,kjønn samlet,65 år,grunnskole,leveår,83.754715
Hele landet,2014-2020,kjønn samlet,65 år,videregående eller høyere,leveår,86.968025
Hele landet,2014-2020,kjønn samlet,65 år,videregående,leveår,85.893021
Hele landet,2014-2020,kjønn samlet,65 år,universitet eller høgskole,leveår,88.04303
Hele landet,2014-2020,menn,ved fødsel,alle utdanningsnivåer,leveår,80.905907
Hele landet,2014-2020,menn,ved fødsel,grunnskole,leveår,-
Hele landet,2014-2020,menn,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2014-2020,menn,ved fødsel,videregående,leveår,-
Hele landet,2014-2020,menn,ved fødsel,universitet eller høgskole,leveår,-
Hele landet,2014-2020,menn,30 år,alle utdanningsnivåer,leveår,81.624802
Hele landet,2014-2020,menn,30 år,grunnskole,leveår,78.143433
Hele landet,2014-2020,menn,30 år,videregående eller høyere,leveår,83.459671
Hele landet,2014-2020,menn,30 år,videregående,leveår,81.949493
Hele landet,2014-2020,menn,30 år,universitet eller høgskole,leveår,84.969849
Hele landet,2014-2020,menn,65 år,alle utdanningsnivåer,leveår,84.305374
Hele landet,2014-2020,menn,65 år,grunnskole,leveår,82.480255
Hele landet,2014-2020,menn,65 år,videregående eller høyere,leveår,85.545105
