Kommunenummer,Kommune,Aldersgruppe,År,Personer,SortColumn
4012,Bamble,0-19 år,2024-01-01,3061,1
4012,Bamble,0-19 år,2025-01-01,3043,1
4012,Bamble,0-19 år,2026-01-01,3021,1
4012,Bamble,0-19 år,2027-01-01,2963,1
4012,Bamble,0-19 år,2028-01-01,2917,1
4012,Bamble,0-19 år,2029-01-01,2877,1
4012,Bamble,0-19 år,2030-01-01,2849,1
4012,Bamble,0-19 år,2031-01-01,2829,1
4012,Bamble,0-19 år,2032-01-01,2795,1
4012,Bamble,0-19 år,2033-01-01,2778,1
4012,Bamble,0-19 år,2034-01-01,2766,1
4012,Bamble,0-19 år,2035-01-01,2762,1
4012,Bamble,0-19 år,2036-01-01,2758,1
4012,Bamble,0-19 år,2037-01-01,2741,1
4012,Bamble,0-19 år,2038-01-01,2734,1
4012,Bamble,0-19 år,2039-01-01,2726,1
4012,Bamble,0-19 år,2040-01-01,2716,1
4012,Bamble,0-19 år,2041-01-01,2715,1
4012,Bamble,0-19 år,2042-01-01,2718,1
4012,Bamble,0-19 år,2043-01-01,2722,1
4012,Bamble,0-19 år,2044-01-01,2724,1
4012,Bamble,0-19 år,2045-01-01,2729,1
4012,Bamble,0-19 år,2046-01-01,2731,1
4012,Bamble,0-19 år,2047-01-01,2733,1
4012,Bamble,0-19 år,2048-01-01,2730,1
4012,Bamble,0-19 år,2049-01-01,2733,1
4012,Bamble,0-19 år,2050-01-01,2731,1
4012,Bamble,20-39 år,2024-01-01,3199,2
4012,Bamble,20-39 år,2025-01-01,3168,2
4012,Bamble,20-39 år,2026-01-01,3164,2
4012,Bamble,20-39 år,2027-01-01,3170,2
4012,Bamble,20-39 år,2028-01-01,3139,2
4012,Bamble,20-39 år,2029-01-01,3101,2
4012,Bamble,20-39 år,2030-01-01,3077,2
4012,Bamble,20-39 år,2031-01-01,3048,2
4012,Bamble,20-39 år,2032-01-01,3017,2
4012,Bamble,20-39 år,2033-01-01,2969,2
4012,Bamble,20-39 år,2034-01-01,2955,2
4012,Bamble,20-39 år,2035-01-01,2935,2
4012,Bamble,20-39 år,2036-01-01,2909,2
4012,Bamble,20-39 år,2037-01-01,2910,2
4012,Bamble,20-39 år,2038-01-01,2902,2
4012,Bamble,20-39 år,2039-01-01,2892,2
4012,Bamble,20-39 år,2040-01-01,2881,2
4012,Bamble,20-39 år,2041-01-01,2862,2
4012,Bamble,20-39 år,2042-01-01,2842,2
4012,Bamble,20-39 år,2043-01-01,2833,2
4012,Bamble,20-39 år,2044-01-01,2815,2
4012,Bamble,20-39 år,2045-01-01,2796,2
4012,Bamble,20-39 år,2046-01-01,2778,2
4012,Bamble,20-39 år,2047-01-01,2758,2
4012,Bamble,20-39 år,2048-01-01,2733,2
4012,Bamble,20-39 år,2049-01-01,2717,2
4012,Bamble,20-39 år,2050-01-01,2699,2
4012,Bamble,40-66 år,2024-01-01,5012,3
4012,Bamble,40-66 år,2025-01-01,5046,3
4012,Bamble,40-66 år,2026-01-01,5040,3
4012,Bamble,40-66 år,2027-01-01,5038,3
4012,Bamble,40-66 år,2028-01-01,5057,3
4012,Bamble,40-66 år,2029-01-01,5078,3
4012,Bamble,40-66 år,2030-01-01,5061,3
4012,Bamble,40-66 år,2031-01-01,5070,3
4012,Bamble,40-66 år,2032-01-01,5056,3
4012,Bamble,40-66 år,2033-01-01,5064,3
4012,Bamble,40-66 år,2034-01-01,5016,3
4012,Bamble,40-66 år,2035-01-01,5000,3
4012,Bamble,40-66 år,2036-01-01,4967,3
4012,Bamble,40-66 år,2037-01-01,4933,3
4012,Bamble,40-66 år,2038-01-01,4901,3
4012,Bamble,40-66 år,2039-01-01,4863,3
4012,Bamble,40-66 år,2040-01-01,4824,3
4012,Bamble,40-66 år,2041-01-01,4812,3
4012,Bamble,40-66 år,2042-01-01,4814,3
4012,Bamble,40-66 år,2043-01-01,4797,3
4012,Bamble,40-66 år,2044-01-01,4794,3
4012,Bamble,40-66 år,2045-01-01,4804,3
4012,Bamble,40-66 år,2046-01-01,4829,3
4012,Bamble,40-66 år,2047-01-01,4828,3
4012,Bamble,40-66 år,2048-01-01,4851,3
4012,Bamble,40-66 år,2049-01-01,4872,3
4012,Bamble,40-66 år,2050-01-01,4878,3
4012,Bamble,67-79 år,2024-01-01,2254,4
4012,Bamble,67-79 år,2025-01-01,2239,4
4012,Bamble,67-79 år,2026-01-01,2235,4
4012,Bamble,67-79 år,2027-01-01,2227,4
4012,Bamble,67-79 år,2028-01-01,2221,4
4012,Bamble,67-79 år,2029-01-01,2223,4
4012,Bamble,67-79 år,2030-01-01,2240,4
4012,Bamble,67-79 år,2031-01-01,2221,4
4012,Bamble,67-79 år,2032-01-01,2259,4
4012,Bamble,67-79 år,2033-01-01,2272,4
4012,Bamble,67-79 år,2034-01-01,2310,4
4012,Bamble,67-79 år,2035-01-01,2312,4
4012,Bamble,67-79 år,2036-01-01,2338,4
4012,Bamble,67-79 år,2037-01-01,2355,4
4012,Bamble,67-79 år,2038-01-01,2370,4
