region,alder,statistikkvariabel,år,value
Porsgrunn,0 år,Personer,2010,364
Porsgrunn,0 år,Personer,2011,390
Porsgrunn,0 år,Personer,2012,328
Porsgrunn,0 år,Personer,2013,351
Porsgrunn,0 år,Personer,2014,329
Porsgrunn,0 år,Personer,2015,360
Porsgrunn,0 år,Personer,2016,352
Porsgrunn,0 år,Personer,2017,359
Porsgrunn,0 år,Personer,2018,307
Porsgrunn,0 år,Personer,2019,323
Porsgrunn,0 år,Personer,2020,308
Porsgrunn,0 år,Personer,2021,295
Porsgrunn,0 år,Personer,2022,319
Porsgrunn,0 år,Personer,2023,318
Porsgrunn,0 år,Personer,2024,303
Porsgrunn,0 år,Personer,2025,294
Porsgrunn,1-5 år,Personer,2010,1925
Porsgrunn,1-5 år,Personer,2011,1926
Porsgrunn,1-5 år,Personer,2012,1930
Porsgrunn,1-5 år,Personer,2013,1932
Porsgrunn,1-5 år,Personer,2014,1891
Porsgrunn,1-5 år,Personer,2015,1886
Porsgrunn,1-5 år,Personer,2016,1897
Porsgrunn,1-5 år,Personer,2017,1835
Porsgrunn,1-5 år,Personer,2018,1833
Porsgrunn,1-5 år,Personer,2019,1788
Porsgrunn,1-5 år,Personer,2020,1782
Porsgrunn,1-5 år,Personer,2021,1774
Porsgrunn,1-5 år,Personer,2022,1722
Porsgrunn,1-5 år,Personer,2023,1729
Porsgrunn,1-5 år,Personer,2024,1733
Porsgrunn,1-5 år,Personer,2025,1716
Porsgrunn,6-12 år,Personer,2010,2922
Porsgrunn,6-12 år,Personer,2011,2908
Porsgrunn,6-12 år,Personer,2012,2912
Porsgrunn,6-12 år,Personer,2013,2871
Porsgrunn,6-12 år,Personer,2014,2837
Porsgrunn,6-12 år,Personer,2015,2861
Porsgrunn,6-12 år,Personer,2016,2886
Porsgrunn,6-12 år,Personer,2017,2919
Porsgrunn,6-12 år,Personer,2018,2878
Porsgrunn,6-12 år,Personer,2019,2875
Porsgrunn,6-12 år,Personer,2020,2842
Porsgrunn,6-12 år,Personer,2021,2847
Porsgrunn,6-12 år,Personer,2022,2850
Porsgrunn,6-12 år,Personer,2023,2895
Porsgrunn,6-12 år,Personer,2024,2781
Porsgrunn,6-12 år,Personer,2025,2743
Porsgrunn,13-15 år,Personer,2010,1359
Porsgrunn,13-15 år,Personer,2011,1346
Porsgrunn,13-15 år,Personer,2012,1344
Porsgrunn,13-15 år,Personer,2013,1310
Porsgrunn,13-15 år,Personer,2014,1318
Porsgrunn,13-15 år,Personer,2015,1318
Porsgrunn,13-15 år,Personer,2016,1276
Porsgrunn,13-15 år,Personer,2017,1244
Porsgrunn,13-15 år,Personer,2018,1264
Porsgrunn,13-15 år,Personer,2019,1309
Porsgrunn,13-15 år,Personer,2020,1302
Porsgrunn,13-15 år,Personer,2021,1291
Porsgrunn,13-15 år,Personer,2022,1273
Porsgrunn,13-15 år,Personer,2023,1304
