Kommunenummer,Kommune,År,Andel
4001,Porsgrunn,2020-01-01,96.6
4001,Porsgrunn,2021-01-01,99.5
4001,Porsgrunn,2022-01-01,96.7
4001,Porsgrunn,2023-01-01,97.5
4001,Porsgrunn,2024-01-01,97.6
4001,Porsgrunn,2025-01-01,97.8
4003,Skien,2020-01-01,90.9
4003,Skien,2021-01-01,91.0
4003,Skien,2022-01-01,91.6
4003,Skien,2023-01-01,92.0
4003,Skien,2024-01-01,93.9
4003,Skien,2025-01-01,94.7
4005,Notodden,2020-01-01,94.1
4005,Notodden,2021-01-01,97.0
4005,Notodden,2022-01-01,97.0
4005,Notodden,2023-01-01,94.3
4005,Notodden,2024-01-01,95.4
4005,Notodden,2025-01-01,96.2
4010,Siljan,2020-01-01,85.5
4010,Siljan,2021-01-01,85.0
4010,Siljan,2022-01-01,87.3
4010,Siljan,2023-01-01,92.9
4010,Siljan,2024-01-01,94.5
4010,Siljan,2025-01-01,94.4
4012,Bamble,2020-01-01,92.9
4012,Bamble,2021-01-01,94.7
4012,Bamble,2022-01-01,97.2
4012,Bamble,2023-01-01,93.4
4012,Bamble,2024-01-01,95.7
4012,Bamble,2025-01-01,95.3
4014,Kragerø,2020-01-01,93.2
4014,Kragerø,2021-01-01,93.8
4014,Kragerø,2022-01-01,95.4
4014,Kragerø,2023-01-01,96.2
4014,Kragerø,2024-01-01,95.6
4014,Kragerø,2025-01-01,93.4
4016,Drangedal,2020-01-01,91.7
4016,Drangedal,2021-01-01,91.7
4016,Drangedal,2022-01-01,92.0
4016,Drangedal,2023-01-01,87.4
4016,Drangedal,2024-01-01,94.0
4016,Drangedal,2025-01-01,93.8
4018,Nome,2020-01-01,94.6
4018,Nome,2021-01-01,93.0
4018,Nome,2022-01-01,94.4
4018,Nome,2023-01-01,93.5
4018,Nome,2024-01-01,93.2
4018,Nome,2025-01-01,97.2
4020,Midt-Telemark,2020-01-01,91.6
4020,Midt-Telemark,2021-01-01,91.5
4020,Midt-Telemark,2022-01-01,93.8
4020,Midt-Telemark,2023-01-01,92.0
4020,Midt-Telemark,2024-01-01,91.2
4020,Midt-Telemark,2025-01-01,91.2
4022,Seljord,2020-01-01,91.7
4022,Seljord,2021-01-01,94.5
4022,Seljord,2022-01-01,91.2
4022,Seljord,2023-01-01,90.8
4022,Seljord,2024-01-01,94.1
4022,Seljord,2025-01-01,91.9
4024,Hjartdal,2020-01-01,86.5
4024,Hjartdal,2021-01-01,90.0
4024,Hjartdal,2022-01-01,95.7
4024,Hjartdal,2023-01-01,88.6
4024,Hjartdal,2024-01-01,92.7
4024,Hjartdal,2025-01-01,101.2
4026,Tinn,2020-01-01,96.6
4026,Tinn,2021-01-01,100.6
4026,Tinn,2022-01-01,97.6
4026,Tinn,2023-01-01,97.6
4026,Tinn,2024-01-01,95.6
4026,Tinn,2025-01-01,93.9
4028,Kviteseid,2020-01-01,83.7
4028,Kviteseid,2021-01-01,90.4
4028,Kviteseid,2022-01-01,95.9
4028,Kviteseid,2023-01-01,92.8
4028,Kviteseid,2024-01-01,94.9
4028,Kviteseid,2025-01-01,94.6
4030,Nissedal,2020-01-01,92.6
4030,Nissedal,2021-01-01,92.5
4030,Nissedal,2022-01-01,86.2
4030,Nissedal,2023-01-01,91.8
4030,Nissedal,2024-01-01,93.4
4030,Nissedal,2025-01-01,94.4
4032,Fyresdal,2020-01-01,102.5
4032,Fyresdal,2021-01-01,92.5
4032,Fyresdal,2022-01-01,88.2
4032,Fyresdal,2023-01-01,90.0
4032,Fyresdal,2024-01-01,89.4
4032,Fyresdal,2025-01-01,87.5
4034,Tokke,2020-01-01,88.5
4034,Tokke,2021-01-01,97.2
4034,Tokke,2022-01-01,97.6
4034,Tokke,2023-01-01,94.7
4034,Tokke,2024-01-01,90.7
4034,Tokke,2025-01-01,93.7
4036,Vinje,2020-01-01,96.9
4036,Vinje,2021-01-01,97.7
4036,Vinje,2022-01-01,90.4
4036,Vinje,2023-01-01,94.2
4036,Vinje,2024-01-01,98.9
4036,Vinje,2025-01-01,96.1
